FID,OBJECTID,POI_ID,MAX_SO,K_coef,Basin,Segment,COMID,Code,Years,Thirties,FiftyFives,Eighties,Nseg
0,1,9814247,4,4.719831192,O'Fallon,1,9814247,OF,18,8.17,-9.66,-31.55,1
1,2,9814291,4,22.55418889,O'Fallon,2,9814291,OF,18,15.48,-2.82,-26.53,2
2,3,9814307,5,23.39774387,O'Fallon,3,9814307,OF,18,10.5,4.81,-32.12,3
3,4,9814451,3,23.59211148,O'Fallon,4,9814451,OF,18,14,-5.25,-32.15,4
4,5,9814751,5,11.76110512,O'Fallon,5,9814751,OF,18,10.56,4.8,-32.12,5
5,6,9814755,5,10.89658907,O'Fallon,6,9814755,OF,18,10.07,3.55,-32.27,6
6,7,9815217,4,21.89355934,O'Fallon,7,9815217,OF,18,8.76,5.58,-23.14,7
7,8,9815235,4,21.59201834,O'Fallon,8,9815235,OF,18,6.89,4.68,-22.71,8
8,9,9815237,5,19.82263426,O'Fallon,9,9815237,OF,18,11.09,5.35,-33.24,9
9,10,9815317,3,17.97629316,O'Fallon,10,9815317,OF,18,-3.02,-4.08,-23.74,10
10,11,9815679,2,23.41205612,O'Fallon,11,9815679,OF,18,22.53,-3.08,-26.68,11
11,12,9816453,3,23.50969758,O'Fallon,12,9816453,OF,18,-5.29,-6.53,-23.77,12
12,13,9816565,3,23.47367231,O'Fallon,13,9816565,OF,18,-9,-10.57,-25.47,13
13,14,9816579,4,21.34118722,O'Fallon,14,9816579,OF,18,2.52,-2.75,-25.46,14
14,15,9816587,4,18.68585597,O'Fallon,15,9816587,OF,18,12.15,7.45,-36.5,15
15,16,9816671,4,23.98043835,O'Fallon,16,9816671,OF,18,0.49,-4.85,-26.08,16
16,17,9816739,3,23.72844155,O'Fallon,17,9816739,OF,18,1.24,-4.37,-18.95,17
17,18,9816841,3,21.46127912,O'Fallon,18,9816841,OF,18,-0.81,-8.02,-10.26,18
18,19,9817075,4,23.39996149,O'Fallon,19,9817075,OF,18,12.57,10.19,-35.8,19
19,20,9817221,4,22.03014972,O'Fallon,20,9817221,OF,18,10.77,11.79,-35.14,20
20,21,9817379,3,23.91121738,O'Fallon,21,9817379,OF,18,4.79,5.03,-25.5,21
21,22,9817821,4,12.82858089,O'Fallon,22,9817821,OF,18,2.94,-2.42,-25.53,22
22,23,9817843,3,19.3577182,O'Fallon,23,9817843,OF,18,-0.26,-7.54,2.94,23
23,24,9817925,3,13.88430727,O'Fallon,24,9817925,OF,18,5.95,4.13,-27.82,24
24,25,9817939,4,21.76081649,O'Fallon,25,9817939,OF,18,13.72,9.98,-35,25
25,26,9818141,3,23.73074057,O'Fallon,26,9818141,OF,18,-1.94,0.25,-28.22,26
